,time,obj,optimal,proceesor_num,order_num,job_num
0,0.21947288513183594,78.212918654195,True,3,3,20
1,0.31331562995910645,121.09327530842398,True,4,3,20
2,0.5499711036682129,103.93338687658061,True,5,3,20
3,0.2657625675201416,130.9091249948987,True,3,5,20
4,0.9092860221862793,143.61778962796046,True,4,5,20
5,7.583958864212036,161.01763669660215,True,5,5,20
6,5.19662070274353,212.9607206955433,True,3,7,20
7,8.04597020149231,152.8667621008488,True,4,7,20
8,476.5359196662903,161.56770730689266,True,5,7,20
9,0.2500431537628174,186.31754241306697,True,3,3,30
10,0.4391775131225586,174.6288818538104,True,4,3,30
11,0.7344326972961426,118.06521674828899,True,5,3,30
12,0.7389616966247559,262.2744176805697,True,3,5,30
13,4.772611856460571,189.69426363466593,True,4,5,30
14,9.0542151927948,154.07328276378058,True,5,5,30
15,1.454970359802246,304.1102295080241,True,3,7,30
16,36.840742349624634,202.45402412866542,True,4,7,30
17,2081.16464138031,206.96807135139775,True,5,7,30
18,0.4066641330718994,296.37429696539607,True,3,3,40
19,0.46952128410339355,205.48459776567944,True,4,3,40
20,0.8633902072906494,164.9340192199863,True,5,3,40
21,0.3284480571746826,303.9573876627286,True,3,5,40
22,2.873988628387451,281.49938036365455,True,4,5,40
23,9.873085737228394,203.0944889604122,True,5,5,40
24,13.413780450820923,494.95096932310565,True,3,7,40
25,20.299354791641235,325.77814565528814,True,4,7,40
26,558.7190773487091,238.94237165425682,True,5,7,40
